2020-07-13T05:03:45+00:00 has web product json: {"sku":"Yamaha FG820-1"}
2020-07-13T08:39:05+00:00 file: testwordpress.php, user: 
2020-07-13T08:39:05+00:00 post json: 
2020-07-13T08:39:05+00:00 set auto commit to off
2020-07-13T08:39:51+00:00 file: testwordpress.php, user: 
2020-07-13T08:39:51+00:00 post json: 
2020-07-13T08:39:51+00:00 set auto commit to off
2020-07-13T08:39:51+00:00 query sql: select * from CategoryMappingWeb, modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11107' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11118' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11129' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11129' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11178' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11178' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11178' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11197' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11197' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11197' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5878' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5878' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5878' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5409' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '3310' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '3310' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10084' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10084' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10098' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10098' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10122' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10122' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10106' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10106' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10113' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10131' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10131' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5897' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5897' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5897' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2592' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2592' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2571' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2571' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6085' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6085' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6085' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6566' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6566' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6586' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6586' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '9138' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '9138' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7149' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7149' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7149' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7149' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '18163' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '18163' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '18163' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5922' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5922' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5922' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5802' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5802' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4423' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4423' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6940' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6940' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '3626' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '3626' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10235' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10235' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '15587' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '15587' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '15613' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '15613' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5051' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5051' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5057' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5057' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5064' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5064' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5618' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5618' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5638' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5638' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5652' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5652' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5686' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5686' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5714' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5714' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5679' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5679' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4865' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4865' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4452' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4452' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2144' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2144' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10039' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10039' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10039' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10049' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10049' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '10049' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4477' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4477' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4477' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2635' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2635' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2640' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2640' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6601' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '6601' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '13601' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '13601' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '13601' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '12756' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '12756' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2220' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2220' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2220' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4433' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '4433' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2205' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2205' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2205' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8297' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8297' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8317' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8317' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8331' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8331' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8350' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '8350' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2145' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2145' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2247' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '2247' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14805' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14805' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:53+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '14814' and WebCategoryName = 'Array', modified user: 
