ShopeeProductID,Sku,ItemID,ItemSku,VariationID,VariationSku,ModifiedUser,ModifiedDate
2761,Paramount-Estick,2138330853,Paramount-Estick,0,,bot,28/5/2020 14:16
2762,Paramount-P6A,2137657509,Paramount-P6A,0,,bot,28/5/2020 14:16
2763,Paramount-P6K,2137629536,Paramount-P6K,0,,bot,28/5/2020 14:16
2764,Paramount-P6R,2137606149,Paramount-P6R,0,,bot,28/5/2020 14:16
2765,Paramount-ID100,2128230944,Paramount-ID100,0,,bot,28/5/2020 14:16
2766,RDS,2087385364,RDS,0,,bot,28/5/2020 14:16
2767,JB-GS,2087370973,JB-GS,0,,bot,28/5/2020 14:16
2768,Paramount-MA001VS-FMD40MD,6000548604,Paramount-MA001VS-FMD40MD,0,,bot,28/5/2020 14:16
2769,Paramount-PMM605,2155913430,Paramount-PMM605,0,,bot,28/5/2020 14:16
2770,Paramount-PDM603,2155899231,Paramount-PDM603,0,,bot,28/5/2020 14:16
2771,BJ2,2128530814,BJ2,0,,bot,28/5/2020 14:16
2772,#PMM605,115029523,#PMM605,0,,bot,28/5/2020 14:16
2773,#PFM612,115026499,#PFM612,0,,bot,28/5/2020 14:16
2774,Paramount-KFQ32K-BL,3500169989,Paramount-KFQ32K-BL,0,,bot,28/5/2020 14:16
2775,Paramount-PCM604,2155906573,Paramount-PCM604,0,,bot,28/5/2020 14:16
2776,Paramount-KFQ32K-PK,2118507123,Paramount-KFQ32K-PK,0,,bot,28/5/2020 14:16
2777,Paramount-KFQ-32K-BL-REVB,2117561280,Paramount-KFQ-32K-BL-REVB,0,,bot,28/5/2020 14:16
2778,Paramount-KFQ-32K-PK-REVB,2117555901,Paramount-KFQ-32K-PK-REVB,0,,bot,28/5/2020 14:16
2779,BM32K-PK,938858627,BM32K-PK,0,,bot,28/5/2020 14:16
2780,BM32K-BL,938855528,BM32K-BL,0,,bot,28/5/2020 14:16
2781,#PDM603,115023970,#PDM603,0,,bot,28/5/2020 14:16
2782,Paramount-WC450JB,2134072397,Paramount-WC450JB,0,,bot,28/5/2020 14:16
2783,Paramount-EC450LP,2134024435,Paramount-EC450LP,0,,bot,28/5/2020 14:16
2784,Paramount-EC450SG,2134010654,Paramount-EC450SG,0,,bot,28/5/2020 14:16
2785,Paramount-EC500,2133998239,Paramount-EC500,0,,bot,28/5/2020 14:16
2786,Paramount-BC450,2133978741,Paramount-BC450,0,,bot,28/5/2020 14:16
2787,Paramount-T1D,2137410751,Paramount-T1D,0,,bot,28/5/2020 14:16
2788,Paramount-BC500,2133949318,Paramount-BC500,0,,bot,28/5/2020 14:16
2789,Paramount-T100,2117526671,Paramount-T100,0,,bot,28/5/2020 14:16
2790,T1A,2075944774,T1A,0,,bot,28/5/2020 14:16
2791,T400,2075701023,T400,0,,bot,28/5/2020 14:16
2792,DSB-070,6701528550,DSB-070,0,,bot,28/5/2020 14:16
2793,Paramount-BM37K-GR,2813398881,Paramount-BM37K-GR,0,,bot,28/5/2020 14:16
2794,Paramount-BC01,2137344646,Paramount-BC01,0,,bot,28/5/2020 14:16
2795,Paramount-JBP-DS-B,2122175399,Paramount-JBP-DS-B,0,,bot,28/5/2020 14:16
2796,DSB-095,2087440416,DSB-095,0,,bot,28/5/2020 14:16
2797,DSB-071,2087213287,DSB-071,0,,bot,28/5/2020 14:16
2798,BC01-Classical-Guitar-Bag,1118183021,BC01-Classical-Guitar-Bag,0,,bot,28/5/2020 14:16
2799,JX06SV,883131687,JX06SV,0,,bot,28/5/2020 14:16
2800,JX06BK,883122755,JX06BK,0,,bot,28/5/2020 14:16
2801,Cymbal Protector,883204016,Cymbal Protector,0,,bot,28/5/2020 14:16
2802,Made in Germany,883114000,Made in Germany,0,,bot,28/5/2020 14:16
2803,Guitto-GPB-01B,2801883058,Guitto-GPB-01B,0,,bot,28/5/2020 14:16
2804,Ortega-TWCAPO-BK,2792061193,Ortega-TWCAPO-BK,0,,bot,28/5/2020 14:16
2805,Ortega-TWCAPO-SV,2792020129,Ortega-TWCAPO-SV,0,,bot,28/5/2020 14:16
2806,Ortega-QuantumLoop-Stomp-Box,2792491384,Ortega-QuantumLoop-Stomp-Box,0,,bot,28/5/2020 14:16
2807,Ortega-Annalog,2792448889,Ortega-Annalog,0,,bot,28/5/2020 14:16
2808,Ortega-Horse-Kick-V2,2792433702,Ortega-Horse-Kick-V2,0,,bot,28/5/2020 14:16
